iter	Passed	Remaining
958	32545	1391
959	32586	1357
960	32630	1324
961	32670	1290
962	32704	1256
963	32738	1222
964	32771	1188
965	32808	1154
966	32848	1120
967	32890	1087
968	32927	1053
969	32960	1019
970	32996	985
971	33028	951
972	33059	917
973	33093	883
974	33126	849
975	33157	815
976	33190	781
977	33224	747
978	33261	713
979	33293	679
980	33332	645
981	33368	611
982	33402	577
983	33434	543
984	33471	509
985	33505	475
986	33538	441
987	33573	407
988	33609	373
989	33640	339
990	33672	305
991	33702	271
992	33733	237
993	33764	203
994	33788	169
995	33820	135
996	33854	101
997	33884	67
998	33916	33
999	33949	0
